人物,形式,时间,地点,氛围,任务,目的,人际关系,正面,负面,人物,形式,时间,地点,氛围,任务,目的,人际关系,正面,负面,人物,形式,时间,地点,氛围,任务,目的,人际关系,正面,负面,人物,形式,时间,地点,氛围,任务,目的,人际关系,正面,负面,人物,形式,时间,地点,氛围,任务,目的,人际关系,正面,负面,人物,形式,时间,地点,氛围,任务,目的,人际关系,正面,负面,人物,形式,时间,地点,氛围,任务,目的,人际关系,正面,负面,人物,形式,时间,地点,氛围,任务,目的,人际关系,正面,负面
1,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,,,8,,,,,,,,,
我们15个,,,,,,,,,,最强小孩,,,,,,,,,,变形记,,,,,,,,,,完美假期,,,,,,,,,,中国好声音,,,,,,,,,,爸爸回来了,,,,,,,,,,挑战者联盟,,,,,,,,,,为她而战,,,,,,,,,
普通人,真人秀,全时,野外,平淡,生活,正能量,团结,轻松,盗版,普通人,真人秀,72小时,野外,轻松,自立,正能量,协作,轻松,盗版,普通人,真人秀,,乡村,感动,换位,收获,换位,轻松,盗版,普通人,真人秀,全时,室内,华丽,生存,互动,竞争,轻松,盗版,普通人,真人秀,周播,舞台,愉快,音乐,励志,竞争,轻松,盗版,明星,真人秀,48小时,,温馨,互动,教育,相处,轻松,盗版,明星,真人秀,,陌生,紧张,职业,正能量,协作,轻松,盗版,明星,原创,,现场,温暖,互动,真爱,协作,轻松,盗版
素人,全景,24小时,户外,温馨,生存,积极,团队,快乐,抄袭,素人,,,户外,有趣,独立,积极,合作,快乐,抄袭,素人,,,山村,,理解,教益,理解,快乐,抄袭,素人,全景,24小时,全封闭,奢华,生活,参与,撕逼,快乐,抄袭,素人,选秀,,现场,开心,好听,梦想,选拨,快乐,抄袭,儿童,观察,,,可爱,,育儿,独处,快乐,抄袭,名人,,,,刺激,职场,温暖,合作,快乐,抄袭,夫妻,真人秀,,,感人,游戏,婚姻,合作,快乐,抄袭
草根,直播,不间断,山顶,感动,实验,正面,集体,感动,没+看懂,草根,,,陌生,温馨,独自,正面,沟通,感动,没+看懂,草根,,,贫穷,,,改善,,感动,没+看懂,草根,直播,不间断,密闭,现代,体验,人性,,感动,没+看懂,草根,,,,紧张,好歌,理想,评判,感动,没+看懂,小孩,无介入,,,欢乐,,亲情,照顾,感动,没+看懂,,,,,悬念,体验,鼓励,互助,感动,没+看懂,情侣,,,,感动,挑战,爱情,互助,感动,没+看懂
平民,观察,,天然,,建设,成长,协作,不舍,审美疲劳,平民,,,,感动,脱离,成长,交流,不舍,审美疲劳,平民,,,,,,解决,,不舍,审美疲劳,平民,观察,,,,角色,暴露,,不舍,审美疲劳,平民,,,,轻松,歌曲,平等,导师,不舍,审美疲劳,孩子,,,,,,父爱,爱护,不舍,审美疲劳,,,,,愉快,角色,励志,帮助,不舍,审美疲劳,伴侣,,,,,生活,恋爱,帮助,不舍,审美疲劳
,无介入,,大自然,,家园,变化,合作,赞,质疑,儿童,,,,可爱,离开,长大,帮助,赞,质疑,,,,,,,变形,,赞,质疑,,无介入,,,,扮演,显露,,赞,质疑,,,,,放松,唱将,机会,引导,赞,质疑,亲子,,,,,,,交流,赞,质疑,,,,,,身份,积极,友谊,赞,质疑,爱人,,,,,,检验,默契,赞,质疑
,,,原生态,,从无到有,变好,沟通,棒,偏离,小孩,,,,童真,挑战,发展,互助,棒,偏离,,,,,,,成长,,棒,偏离,,,,,,,,,棒,偏离,,,,,享受,实力,实现,培养,棒,偏离,父子,,,,,,,沟通,棒,偏离,,,,,,转换,进取,朋友,棒,偏离,恋人,,,,,,考验,相爱,棒,偏离
,,,,,从零开始,努力,交流,希望,失望,孩子,,,,,坚持,变化,关心,希望,失望,,,,,,,成熟,,希望,失望,,,,,,,,,希望,失望,,,,,悬念,才华,努力,训练,希望,失望,,,,,,,,教育,希望,失望,,,,,,能力,上进,团结,希望,失望,情人,,,,,,体验,爱护,希望,失望
